Old,New,Comment
--semantic-spacing-dynamic-s-200,--semantic-gap-all-linear-200
--semantic-spacing-dynamic-s-2400,--semantic-gap-all-linear-2400
--semantic-spacing-dynamic-s-300,--semantic-gap-all-linear-300
--semantic-spacing-dynamic-s-400,--semantic-gap-all-linear-400
--semantic-spacing-dynamic-s-600,--semantic-gap-all-linear-600
--semantic-spacing-dynamic-s-800,--semantic-gap-all-linear-800
--semantic-spacing-focus-offset,--semantic-offset-all-focus
--semantic-spacing-icon-m-adjustment,--semantic-inset-horizontal-icon-adjustment-content-m
--semantic-spacing-icon-s-adjustment,--semantic-inset-horizontal-icon-adjustment-content-s
--semantic-spacing-label-m-gap,--label-m-gap-horizontal
--semantic-spacing-label-m-stack,--label-m-gap-vertical
--semantic-spacing-list-l,--semantic-gap-all-linear-400
--semantic-spacing-list-m,--list-m-gap-vertical
--semantic-spacing-list-s,--list-s-gap-vertical
--semantic-spacing-list-xl,--semantic-gap-all-linear-600
--semantic-spacing-list-xs,--semantic-gap-all-linear-200
--semantic-text-utility-indication,
--accordion-l-item-header-gap,--accordion-l-item-header-gap-horizontal
--accordion-l-item-headline-gap,--accordion-l-item-headline-gap-horizontal
--accordion-l-title-text-closed,--semantic-text-utility-default-l
--accordion-l-title-text-opened,--semantic-text-utility-attention-l
--accordion-m-item-header-gap,--accordion-m-item-header-gap-horizontal
--accordion-m-item-headline-gap,--accordion-m-item-headline-gap-horizontal
--accordion-m-title-text-closed,--semantic-text-utility-default-m
--accordion-m-title-text-opened,--semantic-text-utility-attention-m
--form-field-stack,--form-field-gap-vertical
--indicator-count-height,--indicator-content-m-size
--indicator-count-height,--indicator-content-s-size
--indicator-count-inset-all,
--indicator-count-inset-horizontal,--indicator-content-m-inset-horizontal
--indicator-count-inset-horizontal,--indicator-content-s-inset-horizontal
--indicator-count-inset-vertical,
--indicator-count-min-width,--indicator-content-m-size
--indicator-count-min-width,--indicator-content-s-size
--indicator-countless-size,--indicator-content-m-countless-size
--indicator-countless-size,--indicator-content-s-countless-size
--indicator-icon-l-size,--indicator-component-1600-size
--indicator-icon-m-size,--indicator-component-1200-size
--indicator-icon-s-size,--indicator-component-800-size
--indicator-icon-xl-size,--indicator-component-2000-size
--indicator-text,--indicator-content-m-text
--indicator-text,--indicator-content-s-text
--input-field-gap,--input-field-m-gap-horizontal
--input-field-inset-horizontal,--input-field-m-inset-horizontal
--input-field-inset-vertical,--input-field-m-inset-vertical
--input-field-m-gap,--input-field-m-gap-horizontal
--input-field-m-min-height,--input-field-m-height
--input-field-min-height,--input-field-m-height
--input-field-s-gap,--input-field-s-gap-horizontal
--input-field-s-min-height,--input-field-s-height
--license-plate-gap,--license-plate-inset-horizontal
--license-plate-season-stack,--license-plate-season-gap-vertical
--list-m-item-gap,--list-m-item-gap-horizontal
--list-s-item-gap,--list-s-item-gap-horizontal
--segmented-control-m-gap,--segmented-control-m-gap-horizontal
--segmented-control-s-gap,--segmented-control-s-gap-horizontal
--tab-gap,--tab-gap-horizontal
--tab-item-label-gap,--tab-item-label-gap-horizontal
--tile-control-offset-end,--tile-vertical-control-offset-end
--tile-control-offset-top,--tile-vertical-control-offset-top
--tile-gap,--tile-gap-horizontal
--tile-horizontal-icon-inset-all,--tile-vertical-icon-inset-all
--tile-horizontal-icon-inset-bottom,--tile-vertical-icon-inset-bottom
--tile-horizontal-icon-inset-horizontal,--tile-vertical-icon-inset-horizontal
--tile-horizontal-icon-inset-top,--tile-vertical-icon-inset-top
--tile-horizontal-icon-size,--tile-vertical-icon-size
--tile-horizontal-inset-horizontal,--tile-vertical-inset-horizontal
--tile-horizontal-inset-vertical,--tile-vertical-inset-vertical
--tile-stack,--tile-gap-vertical
--tile-vertical-icon-size,--tile-horizontal-icon-size
--tile-vertical-inset-horizontal,--tile-horizontal-inset-horizontal
--tile-vertical-inset-vertical,--tile-horizontal-inset-vertical
/allianz/web/tokens-,/allianz/a1/web/tokens-


